source,target
C00001029,UBE2I
C00001029,RAPGEF3
C00001029,STAT1
C00001029,EIF2AK3
C00001029,OXTR
C00001029,GAPDH
C00001029,ALPL
C00001029,PPARA
C00001029,IL1B
C00001029,GPR35
C00001029,AVPR1A
C00001029,PABPC1
C00001029,PPARG
C00001029,GNAI1
C00001029,RAPGEF4
C00001029,SENP6
C00001029,TP53
C00001029,MAPK1
C00001029,MAP3K3
C00001029,NCOA1
C00001029,NFKB1
C00001029,HDAC3
C00001029,AKT1
C00001029,SREBF2
C00001029,APOA2
C00001029,SLC2A4
C00001029,UCP1
C00001029,SERPINE1
C00002381,PTPN1
C00002381,APOA2
C00002381,SREBF2
C00002381,SENP1
C00002381,SENP6
C00002381,UBE2I
C00002724,RAPGEF4
C00002724,OXTR
C00002724,SENP6
C00002724,TP53
C00002724,PRKACB
C00002724,NCOA2
C00002724,EPAS1
C00002724,NRP1
C00002724,GLP1R
C00002724,MTOR
C00002724,GNAS
C00002724,IL1B
C00002724,RAPGEF3
C00002724,NCOA1
C00002724,AVPR1A
C00002724,PABPC1
C00002724,HDAC3
C00002724,PADI4
C00002724,FOXP3
C00002724,STAT5B
C00002724,IL2RG
C00002724,IL2RB
C00002724,IL2RA
C00001819,GNAI1
C00001819,GLP1R
C00001819,MTOR
C00001819,GAPDH
C00001819,MAPK1
C00001819,NR3C1
C00001819,CCL4
C00001819,CCR5
C00001819,CXCL12
C00001819,CXCR4
C00001819,CCL2
C00001555,NRP1
C00001555,GLP1R
C00001555,GNAS
C00001555,PADI4
C00001555,EPAS1
C00001555,RAPGEF3
C00001555,OXTR
C00001555,PRKACB
C00001555,GAPDH
C00001555,IL1B
C00001555,AVPR1A
C00001555,PABPC1
C00001555,NCOA2
C00001555,GNAI1
C00001555,RAPGEF4
C00001555,SENP6
C00001555,TP53
C00001555,MTOR
C00001555,MAPK1
C00001555,NCOA1
C00001555,HDAC3
C00001555,AKT1
C00001555,CCL11
C00001555,CCL5
C00001555,CCL8
C00001555,LPA
C00001555,CD8A
C00005413,JAK2
C00005413,GLP1R
C00005413,MYC
C00005413,ATF6
C00005413,UBA2
C00005413,PADI4
C00005413,CTNNB1
C00005413,PTPN22
C00005413,UBE2I
C00005413,EIF2AK3
C00005413,OXTR
C00005413,GAPDH
C00005413,ALPL
C00005413,GPR35
C00005413,AVPR1A
C00005413,PABPC1
C00005413,PPARG
C00005413,STAT3
C00005413,GNAI1
C00005413,SENP6
C00005413,TP53
C00005413,MAPK1
C00005413,MAP3K3
C00005413,NCOA1
C00005413,NFKB1
C00005413,HDAC3
C00005413,JUN
C00005413,TOP2A
C00005413,GCG
C00005413,MCHR1
C00005413,HCRT
C00005413,CALCR
C00005413,CALCB
C00002503,GNAI1
C00002503,RAPGEF4
C00002503,PRKACB
C00002503,EPAS1
C00002503,NRP1
C00002503,GLP1R
C00002503,MTOR
C00002503,GAPDH
C00002503,GNAS
C00002503,MAPK1
C00002503,IL1B
C00002503,RAPGEF3
C00002503,NCOA1
C00002503,PABPC1
C00002503,NCOA2
C00002503,AKT1
C00002503,SENP1
C00002503,SENP6
C00002503,UBE2I
C00002503,PPARA
C00002503,LEP
C00006925,APP
C00006925,NRP1
C00006925,JAK2
C00006925,GLP1R
C00006925,GNAS
C00006925,UBA2
C00006925,PADI4
